Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
0, 360000, 936, 891, 0.227, 1.03, 0.803
1, 360000, 936, 804, 0.213, 15.523, 15.31
2, 360000, 903, 804, 0.164, 15.498, 15.334
3, 360000, 936, 894, 0.22, 16.634, 16.414
4, 360000, 903, 804, 0.171, 15.455, 15.284
5, 360000, 888, 861, 0.229, 16.469, 16.24
6, 360000, 903, 861, 0.194, 16.41, 16.216
7, 360000, 903, 789, 0.167, 15.075, 14.908
8, 360000, 900, 804, 0.158, 15.639, 15.481
9, 360000, 936, 894, 0.224, 16.608, 16.384
10, 360000, 936, 861, 0.218, 16.252, 16.034
11, 360000, 903, 804, 0.168, 15.542, 15.374
12, 360000, 903, 894, 0.183, 16.855, 16.672
13, 360000, 903, 789, 0.188, 14.946, 14.758
14, 360000, 903, 6486500, 0.185, 23.011, 22.826
15, 360000, 903, 861, 0.187, 16.307, 16.12
16, 360000, 888, 804, 0.228, 15.411, 15.183
17, 360000, 888, 894, 0.235, 16.633, 16.398
18, 360000, 888, 861, 0.234, 16.296, 16.062
19, 360000, 903, 804, 0.169, 16.008, 15.839
20, 360000, 936, 861, 0.217, 16.49, 16.273
21, 360000, 903, 891, 0.185, 1.035, 0.85
22, 360000, 936, 894, 0.221, 16.842, 16.621
23, 360000, 903, 789, 0.188, 14.656, 14.468
24, 360000, 903, 861, 0.16, 16.081, 15.921
25, 360000, 888, 861, 0.23, 16.501, 16.271
26, 360000, 888, 804, 0.248, 16.186, 15.938
27, 360000, 936, 891, 0.224, 1.041, 0.817
28, 360000, 903, 861, 0.189, 16.719, 16.53
29, 360000, 888, 861, 0.238, 17.297, 17.059
30, 360000, 936, 804, 0.223, 15.749, 15.526
31, 360000, 903, 861, 0.185, 16.62, 16.435
32, 360000, 888, 789, 0.234, 15.093, 14.859
33, 360000, 903, 789, 0.189, 15.107, 14.918
34, 360000, 903, 6486500, 0.191, 24.233, 24.042
35, 360000, 903, 861, 0.181, 15.986, 15.805
36, 360000, 936, 894, 0.237, 17.271, 17.034
37, 360000, 903, 894, 0.185, 17.532, 17.347
38, 360000, 936, 804, 0.24, 15.753, 15.513
39, 360000, 900, 891, 0.176, 1.085, 0.909
40, 360000, 903, 894, 0.19, 17.699, 17.509
41, 360000, 936, 804, 0.231, 15.947, 15.716
42, 360000, 903, 804, 0.191, 15.642, 15.451
43, 360000, 888, 861, 0.232, 16.511, 16.279
44, 360000, 903, 804, 0.166, 16.339, 16.173
45, 360000, 900, 804, 0.162, 16.383, 16.221
46, 360000, 903, 861, 0.208, 17.279, 17.071
47, 360000, 936, 804, 0.233, 16.221, 15.988
48, 360000, 903, 861, 0.186, 16.434, 16.248
49, 360000, 903, 861, 0.171, 16.964, 16.793
50, 360000, 936, 804, 0.234, 15.986, 15.752
51, 360000, 888, 894, 0.237, 17.413, 17.176
52, 360000, 936, 891, 0.252, 1.117, 0.865
53, 360000, 903, 861, 0.177, 17.192, 17.015
54, 360000, 900, 894, 0.174, 17.012, 16.838
55, 360000, 903, 804, 0.167, 15.352, 15.185
56, 360000, 903, 861, 0.163, 15.968, 15.805
57, 360000, 903, 789, 0.161, 14.567, 14.406
58, 360000, 888, 789, 0.223, 14.556, 14.333
59, 360000, 903, 804, 0.167, 15.272, 15.105
60, 360000, 936, 804, 0.211, 15.359, 15.148
61, 360000, 888, 789, 0.223, 14.799, 14.576
62, 360000, 900, 789, 0.158, 14.612, 14.454
63, 360000, 903, 894, 0.184, 16.111, 15.927
64, 360000, 903, 834, 0.179, 15.602, 15.423
65, 360000, 936, 789, 0.218, 15.722, 15.504
66, 360000, 936, 894, 0.23, 17.661, 17.431
67, 360000, 936, 861, 0.219, 17.216, 16.997
68, 360000, 888, 861, 0.231, 16.916, 16.685
69, 360000, 936, 861, 0.227, 16.841, 16.614
70, 360000, 903, 894, 0.185, 16.191, 16.006
71, 360000, 903, 804, 0.182, 15.181, 14.999
72, 360000, 936, 789, 0.215, 15.343, 15.128
73, 360000, 936, 6486500, 0.225, 25.323, 25.098
74, 360000, 903, 894, 0.224, 17.936, 17.712
75, 360000, 936, 891, 0.258, 1.186, 0.928
76, 360000, 903, 789, 0.189, 15.247, 15.058
77, 360000, 903, 894, 0.167, 16.924, 16.757
78, 360000, 903, 894, 0.186, 16.878, 16.692
79, 360000, 903, 861, 0.19, 16.436, 16.246
80, 360000, 903, 804, 0.19, 15.629, 15.439
81, 360000, 903, 789, 0.188, 15.669, 15.481
82, 360000, 903, 861, 0.167, 16.58, 16.413
83, 360000, 903, 861, 0.176, 16.433, 16.257
84, 360000, 888, 861, 0.23, 16.403, 16.173
85, 360000, 900, 894, 0.161, 16.619, 16.458
